event_id,user_id,event_time,event_name,step_number,step_name
1,1,2026-01-16 12:24:51,registration_completed,1,registration
2,1,2026-01-16 12:24:51,onboarding_started,2,onboarding_start
3,1,2026-01-16 12:29:51,onboarding_completed,6,onboarding_complete
4,2,2026-01-28 03:46:26,registration_completed,1,registration
5,2,2026-01-28 03:50:26,onboarding_started,2,onboarding_start
6,2,2026-01-28 03:50:26,onboarding_completed,6,onboarding_complete
7,2,2026-01-28 03:52:26,first_lesson_started,7,lesson_1_start
8,2,2026-01-28 04:10:26,first_lesson_completed,8,lesson_1_complete
9,3,2026-01-26 03:03:54,registration_completed,1,registration
11,3,2026-01-26 03:04:54,onboarding_completed,6,onboarding_complete
10,3,2026-01-26 03:06:54,onboarding_started,2,onboarding_start
12,3,2026-01-26 03:12:54,first_lesson_started,7,lesson_1_start
13,3,2026-01-26 03:21:54,first_lesson_completed,8,lesson_1_complete
14,4,2026-01-22 11:03:44,registration_completed,1,registration
15,4,2026-01-22 11:03:44,onboarding_started,2,onboarding_start
16,5,2026-01-22 08:40:12,registration_completed,1,registration
17,5,2026-01-22 08:44:12,onboarding_started,2,onboarding_start
18,5,2026-01-22 08:44:12,onboarding_completed,6,onboarding_complete
19,6,2026-01-29 14:18:28,registration_completed,1,registration
20,6,2026-01-29 14:18:28,onboarding_started,2,onboarding_start
21,6,2026-01-29 14:24:28,onboarding_completed,6,onboarding_complete
23,6,2026-01-29 14:29:28,first_lesson_completed,8,lesson_1_complete
22,6,2026-01-29 14:30:28,first_lesson_started,7,lesson_1_start
24,6,2026-01-30 00:18:28,trial_started,9,trial_start
25,7,2026-01-16 11:03:56,registration_completed,1,registration
26,7,2026-01-16 11:05:56,onboarding_started,2,onboarding_start
28,7,2026-01-16 11:05:56,first_lesson_started,7,lesson_1_start
27,7,2026-01-16 11:09:56,onboarding_completed,6,onboarding_complete
29,8,2026-01-26 20:31:34,registration_completed,1,registration
30,8,2026-01-26 20:33:34,onboarding_started,2,onboarding_start
31,9,2026-01-18 10:11:58,registration_completed,1,registration
32,9,2026-01-18 10:11:58,onboarding_started,2,onboarding_start
33,9,2026-01-18 10:12:58,onboarding_completed,6,onboarding_complete
34,9,2026-01-18 10:23:58,first_lesson_started,7,lesson_1_start
35,9,2026-01-18 10:43:58,first_lesson_completed,8,lesson_1_complete
36,9,2026-01-19 08:11:58,trial_started,9,trial_start
37,10,2026-01-16 14:25:27,registration_completed,1,registration
39,10,2026-01-16 14:26:27,onboarding_completed,6,onboarding_complete
38,10,2026-01-16 14:29:27,onboarding_started,2,onboarding_start
40,10,2026-01-16 14:35:27,first_lesson_started,7,lesson_1_start
41,10,2026-01-16 14:35:27,first_lesson_completed,8,lesson_1_complete
42,11,2026-01-23 22:48:12,registration_completed,1,registration
43,12,2026-01-31 14:03:14,registration_completed,1,registration
44,12,2026-01-31 14:07:14,onboarding_started,2,onboarding_start
45,12,2026-01-31 14:08:14,onboarding_completed,6,onboarding_complete
46,12,2026-01-31 14:14:14,first_lesson_started,7,lesson_1_start
47,12,2026-01-31 14:33:14,first_lesson_completed,8,lesson_1_complete
48,12,2026-02-01 06:03:14,trial_started,9,trial_start
49,13,2026-01-27 12:11:13,registration_completed,1,registration
50,13,2026-01-27 12:13:13,onboarding_started,2,onboarding_start
51,13,2026-01-27 12:15:13,onboarding_completed,6,onboarding_complete
52,13,2026-01-27 12:24:13,first_lesson_started,7,lesson_1_start
53,13,2026-01-27 12:24:13,first_lesson_completed,8,lesson_1_complete
54,13,2026-01-27 14:11:13,trial_started,9,trial_start
55,14,2026-01-27 22:32:41,registration_completed,1,registration
56,14,2026-01-27 22:34:41,onboarding_started,2,onboarding_start
57,14,2026-01-27 22:37:41,onboarding_completed,6,onboarding_complete
59,14,2026-01-27 22:44:41,first_lesson_completed,8,lesson_1_complete
58,14,2026-01-27 22:47:41,first_lesson_started,7,lesson_1_start
60,15,2026-01-27 04:43:50,registration_completed,1,registration
61,15,2026-01-27 04:43:50,onboarding_started,2,onboarding_start
62,15,2026-01-27 04:47:50,onboarding_completed,6,onboarding_complete
63,15,2026-01-27 04:58:50,first_lesson_started,7,lesson_1_start
64,15,2026-01-27 05:10:50,first_lesson_completed,8,lesson_1_complete
65,15,2026-01-27 18:43:50,trial_started,9,trial_start
66,15,2026-02-08 21:43:50,payment_successful,10,payment
67,16,2026-01-28 08:42:51,registration_completed,1,registration
68,16,2026-01-28 08:42:51,onboarding_started,2,onboarding_start
69,16,2026-01-28 08:47:51,onboarding_completed,6,onboarding_complete
70,16,2026-01-28 08:52:51,first_lesson_started,7,lesson_1_start
71,16,2026-01-28 09:02:51,first_lesson_completed,8,lesson_1_complete
72,17,2026-01-23 17:23:47,registration_completed,1,registration
73,17,2026-01-23 17:23:47,onboarding_started,2,onboarding_start
74,17,2026-01-23 17:28:47,onboarding_completed,6,onboarding_complete
75,17,2026-01-23 17:38:47,first_lesson_started,7,lesson_1_start
76,17,2026-01-23 17:48:47,first_lesson_completed,8,lesson_1_complete
77,17,2026-01-25 05:23:47,trial_started,9,trial_start
78,18,2026-01-17 04:16:13,registration_completed,1,registration
79,18,2026-01-17 04:17:13,onboarding_started,2,onboarding_start
80,18,2026-01-17 04:19:13,onboarding_completed,6,onboarding_complete
81,18,2026-01-17 04:22:13,first_lesson_started,7,lesson_1_start
82,18,2026-01-17 04:34:13,first_lesson_completed,8,lesson_1_complete
83,19,2026-01-29 06:37:02,registration_completed,1,registration
84,19,2026-01-29 06:41:02,onboarding_started,2,onboarding_start
85,19,2026-01-29 06:43:02,onboarding_completed,6,onboarding_complete
86,20,2026-01-22 15:45:26,registration_completed,1,registration
87,20,2026-01-22 15:46:26,onboarding_started,2,onboarding_start
88,20,2026-01-22 15:47:26,onboarding_completed,6,onboarding_complete
89,20,2026-01-22 15:50:26,first_lesson_started,7,lesson_1_start
90,21,2026-01-23 12:08:36,registration_completed,1,registration
91,21,2026-01-23 12:11:36,onboarding_started,2,onboarding_start
92,21,2026-01-23 12:14:36,onboarding_completed,6,onboarding_complete
93,21,2026-01-23 12:16:36,first_lesson_started,7,lesson_1_start
94,21,2026-01-23 12:33:36,first_lesson_completed,8,lesson_1_complete
95,22,2026-01-21 07:17:08,registration_completed,1,registration
96,22,2026-01-21 07:18:08,onboarding_started,2,onboarding_start
97,22,2026-01-21 07:22:08,onboarding_completed,6,onboarding_complete
98,22,2026-01-21 07:28:08,first_lesson_started,7,lesson_1_start
99,22,2026-01-21 07:44:08,first_lesson_completed,8,lesson_1_complete
100,23,2026-01-18 02:28:48,registration_completed,1,registration
101,23,2026-01-18 02:32:48,onboarding_started,2,onboarding_start
102,23,2026-01-18 02:33:48,onboarding_completed,6,onboarding_complete
103,24,2026-01-30 18:07:12,registration_completed,1,registration
105,24,2026-01-30 18:10:12,onboarding_completed,6,onboarding_complete
106,24,2026-01-30 18:10:12,first_lesson_started,7,lesson_1_start
104,24,2026-01-30 18:11:12,onboarding_started,2,onboarding_start
107,24,2026-01-30 18:38:12,first_lesson_completed,8,lesson_1_complete
108,24,2026-01-31 13:07:12,trial_started,9,trial_start
109,24,2026-02-12 14:07:12,payment_successful,10,payment
110,25,2026-01-28 06:52:46,registration_completed,1,registration
111,25,2026-01-28 06:52:46,onboarding_started,2,onboarding_start
112,25,2026-01-28 06:53:46,onboarding_completed,6,onboarding_complete
113,25,2026-01-28 06:59:46,first_lesson_started,7,lesson_1_start
114,25,2026-01-28 07:12:46,first_lesson_completed,8,lesson_1_complete
115,26,2026-01-25 22:41:49,registration_completed,1,registration
116,26,2026-01-25 22:42:49,onboarding_started,2,onboarding_start
117,26,2026-01-25 22:44:49,onboarding_completed,6,onboarding_complete
118,27,2026-01-21 20:11:06,registration_completed,1,registration
119,28,2026-01-28 23:41:12,registration_completed,1,registration
121,28,2026-01-28 23:43:12,onboarding_completed,6,onboarding_complete
120,28,2026-01-28 23:45:12,onboarding_started,2,onboarding_start
122,28,2026-01-28 23:55:12,first_lesson_started,7,lesson_1_start
123,29,2026-01-24 06:32:06,registration_completed,1,registration
125,29,2026-01-24 06:34:06,onboarding_completed,6,onboarding_complete
124,29,2026-01-24 06:35:06,onboarding_started,2,onboarding_start
126,29,2026-01-24 06:43:06,first_lesson_started,7,lesson_1_start
127,29,2026-01-24 06:55:06,first_lesson_completed,8,lesson_1_complete
128,30,2026-01-22 12:54:46,registration_completed,1,registration
129,30,2026-01-22 12:56:46,onboarding_started,2,onboarding_start
130,30,2026-01-22 13:00:46,onboarding_completed,6,onboarding_complete
131,30,2026-01-22 13:11:46,first_lesson_started,7,lesson_1_start
132,30,2026-01-22 13:11:46,first_lesson_completed,8,lesson_1_complete
133,30,2026-01-24 10:54:46,trial_started,9,trial_start
134,31,2026-01-22 15:47:14,registration_completed,1,registration
135,31,2026-01-22 15:49:14,onboarding_started,2,onboarding_start
