user_id,sessions_7d,total_session_duration_7d_sec,lessons_completed_7d,returned_day_1,returned_day_3,returned_day_7
1,2,515,0,0,0,0
2,2,735,1,0,1,0
3,4,1934,3,1,0,0
4,2,446,0,1,0,0
5,1,382,0,0,0,0
6,6,3627,8,1,1,0
7,5,911,2,1,1,1
8,5,1468,0,0,1,0
9,4,2652,6,1,0,0
10,2,779,1,0,1,0
11,5,1189,1,1,0,0
12,5,3633,12,1,0,0
13,5,2763,8,1,1,0
14,1,385,1,0,0,0
15,2,1409,3,0,0,0
16,10,5452,3,1,0,0
17,6,3880,5,0,0,0
18,4,2143,1,0,0,0
19,3,1000,0,0,0,0
20,4,1110,1,1,0,0
21,6,3540,6,1,0,0
22,2,994,0,0,1,0
23,1,238,0,0,0,0
24,6,3499,9,1,0,0
25,2,1141,1,1,0,0
26,1,334,0,0,0,0
27,1,230,0,0,0,0
28,3,1038,2,1,0,0
29,6,2329,5,1,0,0
30,2,1014,3,0,0,0
31,4,2280,6,0,1,0
32,3,999,2,0,0,1
33,6,2553,7,1,0,0
34,1,349,2,0,0,0
35,1,233,0,0,0,0
36,3,1113,0,1,1,0
37,3,523,0,1,0,0
38,3,1883,2,0,0,0
39,8,2565,3,1,1,0
40,6,2804,1,0,0,1
41,11,6252,7,1,1,0
42,7,4582,6,1,0,0
43,9,3925,7,1,1,0
44,4,1785,5,0,0,0
45,3,1536,5,0,1,0
46,5,3064,7,0,1,0
47,4,2042,1,0,0,0
48,4,1362,1,1,0,0
49,5,1787,1,1,0,0
50,2,595,0,1,0,0
51,5,2106,1,0,1,0
52,1,156,1,0,0,0
53,3,812,0,0,0,0
54,5,2598,0,0,0,0
55,5,2292,3,1,0,0
56,5,2930,1,1,0,0
57,3,1146,1,0,0,0
58,4,2329,3,0,1,0
59,2,917,3,0,0,0
60,11,7804,12,1,1,1
61,2,434,1,0,0,0
62,4,1658,0,0,1,0
63,5,3137,7,1,0,0
64,1,503,0,0,0,0
65,3,955,0,1,0,0
66,4,1814,5,0,0,0
67,5,2330,1,0,1,1
68,3,1299,2,0,0,0
69,3,1465,2,0,0,0
70,7,3490,2,1,1,0
71,5,2232,4,1,1,0
72,2,870,1,0,0,0
73,6,2484,3,1,1,0
74,5,1934,1,1,1,0
75,6,3875,6,1,1,0
76,1,254,0,0,0,0
77,3,1500,1,1,0,0
78,9,6187,12,1,0,0
79,2,1240,4,0,0,0
80,8,4643,6,1,1,0
81,5,2034,3,1,1,0
82,3,1567,3,0,0,0
83,5,1425,0,0,0,1
